更新时间: 2026-04-21 20:47:30（北京时间）
⚠️ 注意：频道列表已通过30秒增强稳定性测试
📺 经过30秒稳定性测试，减少断流问题

免责声明,#genre#
免责声明视频,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://106.37.149.152:8899/rtp/225.1.8.1:8008$北京市电信
CCTV1,http://171.8.84.159:8800/rtp/239.16.20.1:10010$河南电信
CCTV1,http://183.151.27.188:4022/rtp/233.50.201.118:5140$浙江电信
CCTV1,http://183.164.46.181:6688/rtp/238.1.78.166:7200$安徽电信
CCTV1,http://183.165.195.249:7000/rtp/238.1.78.166:7200$安徽电信
CCTV1,http://223.10.214.111:6000/rtp/239.1.1.7:8007$山西电信
CCTV1,http://39.77.75.225:4000/udp/239.253.254.77:8000$山东联通
CCTV1,http://58.62.234.243:10000/rtp/239.77.0.86:5146$广东电信
CCTV10,http://106.37.149.152:8899/rtp/225.1.8.10:8116$北京市电信
CCTV10,http://171.8.84.159:8800/rtp/239.16.20.10:10100$河南电信
CCTV10,http://183.151.27.188:4022/rtp/233.50.200.22:5140$浙江电信
CCTV10,http://183.164.46.181:6688/rtp/238.1.78.241:7800$安徽电信
CCTV10,http://183.165.195.249:7000/rtp/238.1.78.241:7800$安徽电信
CCTV10,http://223.10.214.111:6000/rtp/239.1.1.17:8017$山西电信
CCTV10,http://39.77.75.225:4000/udp/239.253.254.234:8000$山东联通
CCTV10,http://58.62.234.243:10000/rtp/239.77.0.134:5146$广东电信
CCTV11,http://106.37.149.152:8899/rtp/225.1.8.73:8120$北京市电信
CCTV11,http://171.8.84.159:8800/rtp/239.16.20.11:10110$河南电信
CCTV11,http://183.151.27.188:4022/rtp/233.50.200.132:5140$浙江电信
CCTV11,http://183.164.46.181:6688/rtp/238.1.78.206:7502$安徽电信
CCTV11,http://183.165.195.249:7000/rtp/238.1.78.206:7502$安徽电信
CCTV11,http://223.10.214.111:6000/rtp/239.1.1.18:8018$山西电信
CCTV11,http://39.77.75.225:4000/udp/239.253.254.169:8000$山东联通
CCTV11,http://58.62.234.243:10000/rtp/239.77.1.108:5146$广东电信
CCTV12,http://106.37.149.152:8899/rtp/225.1.8.12:8124$北京市电信
CCTV12,http://171.8.84.159:8800/rtp/239.16.20.12:10120$河南电信
CCTV12,http://183.151.27.188:4022/rtp/233.50.200.21:5140$浙江电信
CCTV12,http://183.164.46.181:6688/rtp/238.1.78.242:7808$安徽电信
CCTV12,http://183.165.195.249:7000/rtp/238.1.78.242:7808$安徽电信
CCTV12,http://223.10.214.111:6000/rtp/239.1.1.19:8019$山西电信
CCTV12,http://39.77.75.225:4000/udp/239.253.254.235:8000$山东联通
CCTV12,http://58.62.234.243:10000/rtp/239.77.0.136:5146$广东电信
CCTV13,http://106.37.149.152:8899/rtp/225.1.8.168:8130$北京市电信
CCTV13,http://171.8.84.159:8800/rtp/239.16.20.13:10130$河南电信
CCTV13,http://183.151.27.188:4022/rtp/233.50.200.97:5140$浙江电信
CCTV13,http://183.164.46.181:6688/rtp/238.1.79.35:4392$安徽电信
CCTV13,http://183.165.195.249:7000/rtp/238.1.79.35:4392$安徽电信
CCTV13,http://223.10.214.111:6000/rtp/239.1.1.20:8020$山西电信
CCTV13,http://39.77.75.225:4000/udp/239.253.254.175:8000$山东联通
CCTV13,http://58.62.234.243:10000/rtp/239.253.43.196:5146$广东电信
CCTV14,http://106.37.149.152:8899/rtp/225.1.8.14:8132$北京市电信
CCTV14,http://171.8.84.159:8800/rtp/239.16.20.14:10140$河南电信
CCTV14,http://183.151.27.188:4022/rtp/233.50.200.103:5140$浙江电信
CCTV14,http://183.164.46.181:6688/rtp/238.1.78.243:7816$安徽电信
